fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
39065,OH,Hardin,12106.18,,0.24067716230899663,,0.0,0.0
18009,IN,Blackford,13161.18,,0.7968730599861763,,,
40025,OK,Cimarron,16755.32,,2.691703319396089,,0.0,0.0
46035,SD,Davison,8995.68,,-1.399178136008413,,0.0,0.0
48145,TX,Falls,12586.3,,0.4937963797428989,,,
27101,MN,Murray,11730.29,,0.042507990765987436,,0.0,0.0
35011,NM,De Baca,9084.89,,-1.3521466326607536,,,
46125,SD,Turner,11048.77,,-0.3167892871344407,,0.0,0.0
46037,SD,Day,10673.55,,-0.5146052347424331,,0.0,0.0
48501,TX,Yoakum,14083.6,,1.2831727945220852,,0.0,0.0
54091,WV,Taylor,11566.67,,-0.043752457364761924,,0.0,0.0
13281,GA,Towns,10585.73,,-0.5609039302249068,,0.0,0.0
21057,KY,Cumberland,13040.73,,0.7333718316684353,,0.0,0.0
24043,MD,Washington,11447.32,,-0.10667376578918997,,0.0,4795.0
28095,MS,Monroe,14112.46,,1.2983877837229978,,0.0,286.0
29077,MO,Greene,11453.21,,-0.10356855836045227,,0.0,9485.0
41065,OR,Wasco,8170.29,,-1.834323663955112,,0.0,182.0
55089,WI,Ozaukee,12089.53,,0.23189928392385462,,0.0,1399.0
13129,GA,Gordon,11456.26,,-0.10196059865626649,,0.0,518.0
17147,IL,Piatt,11948.7,,0.15765372158273883,,0.0,0.0
19067,IA,Floyd,11724.92,,0.03967692728681502,,0.0,0.0
22061,LA,Lincoln,15022.85,,1.7783453034256786,,0.0,460.0
26057,MI,Gratiot,11793.28,,0.07571631265668452,,0.0,452.0
31063,NE,Frontier,11330.61,,-0.16820326646966688,,,
38031,ND,Foster,10734.72,,-0.4823564166752169,,0.0,0.0
39175,OH,Wyandot,11649.88,,0.00011584656482824826,,0.0,0.0
19197,IA,Wright,11314.96,,-0.17645394495179834,,0.0,0.0
46047,SD,Fall River,9528.66,,-1.1181911317013202,,0.0,0.0
48303,TX,Lubbock,13539.12,,0.9961229913303598,,0.0,6367.0
48193,TX,Hamilton,12202.1,,0.291246177005864,,0.0,0.0
49013,UT,Duchesne,9312.4,,-1.232203382726597,,0.0,128.0
38039,ND,Griggs,10662.63,,-0.5203622576833192,,0.0,0.0
38041,ND,Hettinger,8723.23,,-1.5428137495839087,,,
48153,TX,Floyd,14515.91,,1.511086584593006,,0.0,0.0
31099,NE,Kearney,14030.46,,1.2551573916760512,,0.0,0.0
06083,CA,Santa Barbara,10417.38,,-0.6496580338969006,,0.0,0.0
08063,CO,Kit Carson,14182.08,,1.335091440970662,,0.0,0.0
21053,KY,Clinton,13355.44,,0.899286913145199,,0.0,0.0
27105,MN,Nobles,11196.1,,-0.23911692542374988,,0.0,112.0
31087,NE,Hitchcock,10915.45,,-0.3870755782039397,,,
39125,OH,Paulding,12862.91,,0.6396251449149226,,0.0,0.0
31121,NE,Merrick,12553.41,,0.47645677493284955,,0.0,0.0
53033,WA,King,9825.86,,-0.9615073205262887,,0.0,25922.0
31041,NE,Custer,11908.37,,0.13639174949428326,,0.0,0.0
13109,GA,Evans,11872.52,,0.1174916329713192,,0.0,27.0
08105,CO,Rio Grande,9488.35,,-1.1394425597917153,,0.0,0.0
19041,IA,Clay,9782.05,,-0.9846039482772252,,0.0,440.0
19001,IA,Adair,12861.56,,0.6389134250458568,,0.0,0.0
20195,KS,Trego,13642.38,,1.050561653315331,,0.0,0.0
27039,MN,Dodge,10461.58,,-0.6263557981837898,,,
28103,MS,Noxubee,13653.66,,1.0565084682213015,,0.0,0.0
31059,NE,Fillmore,12882.8,,0.650111150985822,,0.0,0.0
39141,OH,Ross,12204.07,,0.29228476081479643,,0.0,1644.0
19039,IA,Clarke,11268.71,,-0.20083694046608228,,0.0,0.0
48255,TX,Karnes,13099.31,,0.7642552019868516,,0.0,0.0
48461,TX,Upton,20974.96,,4.916297118139723,,0.0,0.0
51111,VA,Lunenburg,10408.16,,-0.6545188170026667,,,
